PART NUMBER	DESCRIPTION  (optional)	 FOCAL LENGTH 	LENS DIAMETER	CLEAR APERTURE (optional)	NUMBER OF SURFACES	WAVELENGTH MICROMETERS (optional)	WAVELENGTH MICROMETERS (optional)	WAVELENGTH MICROMETERS (optional)	RADIUS 1 	THICK 1	GLASS 1	RADIUS 2	THICK 2	GLASS 2	RADIUS 3	THICK 3	GLASS 3	RADIUS 4	THICK 4	GLASS 4	RADIUS 5	THICK 5	GLASS 5	RADIUS 6	THICK 6	GLASS 6	RADIUS 7	THICK 7	GLASS 7	RADIUS 8	THICK 8	GLASS 8	
43640	Ball Lens	0,86	1,5		2				0,75	1,5	sapphire	-0,75																					
46119	Ball Lens	0,91	1,58		2				0,79	1,58	sapphire	-0,79																					
43642	Ball Lens	1,15	2		2				1	2	sapphire	-1																					
46120	Ball Lens	1,37	2,38		2				1,19	2,38	sapphire	-1,19																					
43819	Ball Lens	1,44	2,5		2				1,25	2,5	sapphire	-1,25																					
43821	Ball Lens	1,6	2,78		2				1,39	2,78	sapphire	-1,39																					
43644	Ball Lens	1,73	3		2				1,5	3	sapphire	-1,5																					
46121	Ball Lens	1,83	3,18		2				1,59	3,18	sapphire	-1,59																					
43823	Ball Lens	2,3	4		2				2	4	sapphire	-2																					
46122	Ball Lens	2,74	4,76		2				2,38	4,76	sapphire	-2,38																					
43646	Ball Lens	2,88	5		2				2,5	5	sapphire	-2,5																					
43827	Ball Lens	3,17	5,55		2				2,78	5,55	sapphire	-2,78																					
43829	Ball Lens	3,45	6		2				3	6	sapphire	-3																					
43831	Ball Lens	3,65	6,35		2				3,18	6,35	sapphire	-3,18																					
43713	Ball Lens	1,23	2		2				1	2	SF8	-1																					
43714	Ball Lens	1,28	2,5		2				1,25	2,5	SF8	-1,25																					
43715	Ball Lens	1,84	3		2				1,5	3	SF8	-1,5																					
43716	Ball Lens	2,45	4		2				2	4	SF8	-2																					
45113	Laser Focusing Singlets	5,5	5	3	2				3,1	3,45	BK7	-20,45																					
45114	Laser Focusing Singlets	8	5	3	2				4,63	2,5	BK7	-30,59																					
45115	Laser Focusing Singlets	8,5	5	3	2				4,92	2,65	BK7	-32,48																					
45116	Laser Focusing Singlets	9	5	3	2				5,24	2,15	BK7	-34,6																					
32987	DCV	-6,0	6,0		2				-9,74	1,50	SF11	9,74																					
48340	DCV	-9,0	9,0		2				-14,60	2,25	SF11	14,60																					
32989	DCV	-12,0	12,0		2				-19,47	3,00	SF11	19,47																					
32991	DCV	-20,0	20,0		2				-31,82	2,00	SF11	31,82																					
32995	DCV	-100,0	25,0		2				-104,20	5,00	BK7	104,20																					
32997	DCV	-50,0	25,0		2				-52,10	2,50	BK7	52,10																					
32993	DCV	-25,0	25,0		2				-39,78	2,50	SF11	39,78																					
31858	DCX	3,0	3,0		2				3,50	2,30	SF5	-3,50																					
31859	DCX	4,5	3,0		2				4,29	2,00	BK7	-4,29																					
45130	DCX	6,0	3,0		2				5,88	1,80	BK7	-5,88																					
45132	DCX	9,0	3,0		2				9,02	1,60	BK7	-9,02																					
45177	DCX	4,5	4,5		2				6,58	2,60	LaSFN30	-6,58																					
45186	DCX	9,0	4,5		2				8,88	2,38	BK7	-8,88																					
31860	DCX	6,0	6,0		2				7,59	2,54	SF5	-7,59																					
31861	DCX	9,0	6,0		2				8,91	2,25	BK7	-8,91																					
32965	DCX	12,0	6,0		2				11,98	2,40	BK7	-11,98																					
32967	DCX	18,0	6,0		2				18,22	2,20	BK7	-18,22																					
32868	DCX	24,0	6,0		2				24,36	2,60	BK7	-24,36																					
45134	DCX	30,0	6,0		2				30,61	2,30	BK7	-30,61																					
45291	DCX	36,0	6,0		2				36,87	2,00	BK7	-36,87																					
32019	DCX	9,0	9,0		2				11,38	3,45	SF5	-11,38																					
32017	DCX	13,5	9,0		2				13,46	2,75	BK7	-13,46																					
32969	DCX	18,0	9,0		2				18,15	2,60	BK7	-18,15																					
45156	DCX	27,0	9,0		2				27,43	2,74	BK7	-27,43																					
45158	DCX	36,0	9,0		2				36,77	2,55	BK7	-36,77																					
45293	DCX	45,0	9,0		2				46,08	2,50	BK7	-46,08																					
32015	DCX	12,0	12,0		2				15,34	3,85	SF5	-15,34																					
32013	DCX	18,0	12,0		2				18,01	3,48	BK7	-18,01																					
32901	DCX	24,0	12,0		2				24,40	4,00	K5	-24,40																					
45088	DCX	30,0	12,0		2				30,36	3,70	BK7	-30,36																					
32870	DCX	36,0	12,0		2				36,65	3,30	BK7	-36,65																					
45160	DCX	48,0	12,0		2				49,14	2,74	BK7	-49,14																					
32872	DCX	72,0	12,0		2				73,97	2,80	BK7	-73,97																					
45100	DCX	15,0	15,0		2				22,51	4,50	SF11	-22,51																					
45102	DCX	22,5	15,0		2				34,36	4,20	SF11	-34,36																					
32706	DCX	30,0	15,0		2				30,50	4,00	BK7	-30,50																					
32939	DCX	50,0	15,0		2				51,16	3,00	BK7	-51,16																					
32708	DCX	27,0	18,0		2				27,08	5,50	BK7	-27,08																					
32710	DCX	36,0	18,0		2				36,60	4,80	BK7	-36,60																					
45295	DCX	30,0	20,0		2				30,08	5,30	BK7	-30,08																					
32712	DCX	40,0	20,0		2				40,67	5,30	BK7	-40,67																					
32490	DCX	25,0	25,0		2				31,94	8,00	SF5	-31,94																					
45162	DCX	35,0	25,0		2				35,09	6,60	BK7	-35,09																					
